Name,url
"Banjo, Olufemi",https://www.cpso.on.ca/DoctorDetails/Olufemi-Banjo/0296900-104800
"Banoub, Tahany Darwish",https://www.cpso.on.ca/DoctorDetails/Tahany-Darwish-Banoub/0049116-63094
"Barabtarlo, Jack",https://www.cpso.on.ca/DoctorDetails/Jack-Barabtarlo/0028593-33416
"Barakat, Sammy Wisam",https://www.cpso.on.ca/DoctorDetails/Sammy-Wisam-Barakat/0161949-73539
"Barankin, Tatyana",https://www.cpso.on.ca/DoctorDetails/Tatyana-Barankin/0038097-52073
"Barbera, Joseph",https://www.cpso.on.ca/DoctorDetails/Joseph-Barbera/0139275-71215
"Barker, Lucy Church",https://www.cpso.on.ca/DoctorDetails/Lucy-Church-Barker/0288684-101531
"Barlas, Joanna",https://www.cpso.on.ca/DoctorDetails/Joanna-Barlas/0161906-73460
"Barlow, Jane Marguerite",https://www.cpso.on.ca/DoctorDetails/Jane-Marguerite-Barlow/0026189-31012
"Barr, Jennifer",https://www.cpso.on.ca/DoctorDetails/Jennifer-Barr/0251068-88254
"Barrett, Elizabeth Ada",https://www.cpso.on.ca/DoctorDetails/Elizabeth-Ada-Barrett/0042953-56931
"Barron, Jacquelyn Alexandra",https://www.cpso.on.ca/DoctorDetails/Jacquelyn-Alexandra-Barron/0233702-84627
"Barron, Stanley Perry",https://www.cpso.on.ca/DoctorDetails/Stanley-Perry-Barron/0016532-21317
"Barsky, Stephen Abram",https://www.cpso.on.ca/DoctorDetails/Stephen-Abram-Barsky/0038473-52449
"Barsoum, Amir Magdi",https://www.cpso.on.ca/DoctorDetails/Amir-Magdi-Barsoum/0175185-75385
"Bartolucci, Giampiero",https://www.cpso.on.ca/DoctorDetails/Giampiero-Bartolucci/0029999-41976
"Baruch, Ruth",https://www.cpso.on.ca/DoctorDetails/Ruth-Baruch/0025995-30818
"Basker, Rajasekar",https://www.cpso.on.ca/DoctorDetails/Rajasekar-Basker/0279202-99581
"Bassett, Anne Susan",https://www.cpso.on.ca/DoctorDetails/Anne-Susan-Bassett/0036144-50120
"Battaglia, Marco Maria",https://www.cpso.on.ca/DoctorDetails/Marco-Maria-Battaglia/0306682-108348
"Battigelli, Marino",https://www.cpso.on.ca/DoctorDetails/Marino-Battigelli/0026725-31548
"Bazaid, Khalid Awad Saleh",https://www.cpso.on.ca/DoctorDetails/Khalid-Awad-Saleh-Bazaid/0056727-68315
"Bazile, Emilio",https://www.cpso.on.ca/DoctorDetails/Emilio-Bazile/0039469-53445
"Beach, Craig Aaron",https://www.cpso.on.ca/DoctorDetails/Craig-Aaron-Beach/0200736-79257
"Beal, Timothy Lee",https://www.cpso.on.ca/DoctorDetails/Timothy-Lee-Beal/0266783-94237
"Beard, Jonathan Daryl",https://www.cpso.on.ca/DoctorDetails/Jonathan-Daryl-Beard/0260207-92213
